date,total,negative,positive
Май 2020-day-19,1,1,0
Май 2020-day-20,19,17,2
Май 2020-day-21,25,24,1
Май 2020-day-22,81,77,4
Май 2020-day-23,35,31,4
Май 2020-day-24,25,25,0
Май 2020-day-26,55,52,3
Май 2020-day-27,151,144,7
Май 2020-day-28,85,78,7
Май 2020-day-29,64,61,3
Май 2020-day-30,59,56,3
Май 2020-day-31,82,80,2
Июнь 2020-day-01,12,12,0
Июнь 2020-day-02,3,3,0
Июнь 2020-day-03,59,51,8
Июнь 2020-day-04,55,48,7
Июнь 2020-day-05,134,126,8
Июнь 2020-day-06,56,56,0
Июнь 2020-day-07,153,147,6
Июнь 2020-day-08,47,45,2
Июнь 2020-day-09,141,138,3
Июнь 2020-day-10,17,17,0
Июнь 2020-day-11,29,28,1
Июнь 2020-day-12,30,28,2
Июнь 2020-day-13,24,19,5
Июнь 2020-day-14,27,25,2
Июнь 2020-day-15,17,17,0
Июнь 2020-day-16,26,25,1
Июнь 2020-day-17,58,55,3
Июнь 2020-day-18,84,83,1
Июнь 2020-day-19,20,18,2
Июнь 2020-day-20,25,23,2
Июнь 2020-day-21,46,42,4
Июнь 2020-day-22,12,12,0
Июнь 2020-day-23,74,61,13
Июнь 2020-day-24,20,14,6
Июнь 2020-day-25,16,13,3
Июнь 2020-day-26,2,1,1
Июнь 2020-day-27,31,25,6
Июнь 2020-day-28,27,25,2
Июнь 2020-day-29,37,30,7
Июнь 2020-day-30,5,5,0
Июль 2020-day-01,5,4,1
Июль 2020-day-02,19,16,3
Июль 2020-day-03,42,29,13
Июль 2020-day-04,28,24,4
Июль 2020-day-05,24,24,0
Июль 2020-day-06,42,40,2
Июль 2020-day-07,12,10,2
Июль 2020-day-08,37,34,3
Июль 2020-day-09,12,12,0
Июль 2020-day-10,16,13,3
Июль 2020-day-11,40,38,2
Июль 2020-day-12,8,6,2
Июль 2020-day-13,8,7,1
Июль 2020-day-14,18,17,1
Июль 2020-day-15,3,3,0
Июль 2020-day-16,16,13,3
Июль 2020-day-17,13,11,2
Июль 2020-day-18,14,12,2
Июль 2020-day-19,15,13,2
Июль 2020-day-20,10,9,1
Июль 2020-day-21,8,7,1
Июль 2020-day-22,7,4,3
Июль 2020-day-23,24,22,2
Июль 2020-day-24,86,81,5
Июль 2020-day-25,14,13,1
Июль 2020-day-26,15,14,1
Июль 2020-day-27,13,13,0
Июль 2020-day-28,9,8,1
Июль 2020-day-29,11,9,2
Июль 2020-day-30,12,10,2
Июль 2020-day-31,8,7,1
Август 2020-day-01,4,4,0
Август 2020-day-02,87,84,3
Август 2020-day-03,17,16,1
Август 2020-day-04,10,10,0
Август 2020-day-05,20,18,2
Август 2020-day-06,14,14,0
Август 2020-day-07,11,11,0
Август 2020-day-08,55,54,1
Август 2020-day-09,11,11,0
Август 2020-day-10,4,2,2
Август 2020-day-11,7,7,0
Август 2020-day-12,14,12,2
Август 2020-day-13,13,12,1
Август 2020-day-14,7,5,2
Август 2020-day-15,9,9,0
Август 2020-day-16,18,17,1
Август 2020-day-17,4,4,0
Август 2020-day-18,15,13,2
Август 2020-day-19,19,17,2
Август 2020-day-20,16,14,2
Август 2020-day-21,13,10,3
Август 2020-day-22,13,10,3
Август 2020-day-23,10,10,0
Август 2020-day-24,6,4,2
Август 2020-day-25,10,9,1
Август 2020-day-26,11,9,2
Август 2020-day-27,12,10,2
Август 2020-day-28,8,7,1
Август 2020-day-29,55,52,3
Август 2020-day-30,7,7,0
Август 2020-day-31,4,3,1
Сентябрь 2020-day-01,20,19,1
Сентябрь 2020-day-02,11,11,0
Сентябрь 2020-day-03,12,12,0
Сентябрь 2020-day-04,7,7,0
Сентябрь 2020-day-05,7,7,0
Сентябрь 2020-day-06,10,9,1
Сентябрь 2020-day-07,2,2,0
Сентябрь 2020-day-08,8,8,0
Сентябрь 2020-day-09,12,11,1
Сентябрь 2020-day-10,10,7,3
Сентябрь 2020-day-11,18,16,2
Сентябрь 2020-day-12,4,4,0
Сентябрь 2020-day-13,13,12,1
Сентябрь 2020-day-14,7,6,1
Сентябрь 2020-day-15,13,11,2
Сентябрь 2020-day-16,17,14,3
Сентябрь 2020-day-17,11,9,2
Сентябрь 2020-day-18,12,10,2
