Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,28,42,16,670,91,8,28,4,5,8,4,9,4,5,26,20,14,4,2,26,23,5
2020-05-21,1,0,1,14,3,0,0,0,0,0,0,0,0,2,1,9,1,0,0,1,0,1
2020-05-22,4,0,1,26,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1
2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,10,5,2,67,8,3,4,0,0,2,2,2,0,0,0,2,0,2,2,0,11,0
2020-05-26,2,1,1,25,4,7,1,0,0,0,1,0,0,0,0,2,0,3,0,0,2,1
2020-05-27,1,0,0,32,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0
2020-05-28,3,0,0,21,0,5,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1
2020-05-29,2,2,0,19,5,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,10,4,3,88,6,9,2,0,0,1,1,0,0,2,2,1,6,3,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,2,2,2,43,5,6,0,0,0,1,1,1,0,0,0,1,3,2,0,9,9,0
2020-06-04,0,0,0,14,4,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0
2020-06-05,0,0,2,23,2,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,1,6,1,67,10,1,3,0,0,1,1,1,2,2,0,0,9,4,0,3,1,0
2020-06-09,3,2,0,30,2,1,2,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0
2020-06-10,3,1,0,26,5,0,4,0,0,1,0,1,0,0,0,1,2,0,0,0,1,0
2020-06-11,1,1,0,30,3,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0
